COD_PRESTAZIONE,COD_ATC5,DESCRIZIONE,QUANTITA,VDS,UM,GG,UNITA_POSOLOGIA,TITOLARE_AIC
0026011092,L03AB02,NAFERON*3FL 1000000UI+3SIR,"0000000033,330",P,TU,,,SCLAVO SpA
0026089324,J01CR02,AUGMENTIN*OS 2BUST 875MG+125MG,"0000000001,500",O,g,"1,1670000000",2,GLAXOSMITHKLINE SpA
0026089476,J01CR02,AUGMENTIN*OS SOSP FL70ML C/SIR,"0000000001,500",O,g,"3,7330000000",1,GLAXOSMITHKLINE SpA
0026024036,J01DA32,"CEFOSINT 500*IM FL500MG+F1,5ML","0000000004,000",P,g,,1,CROSARA SpA (LAB.FARMACO BIOL.
0026024048,J01DA32,CEFOSINT 2000*EV 1F 2G,"0000000004,000",P,g,,1,CROSARA SpA (LAB.FARMACO BIOL.
0026029025,J07AX,BRONCHOVAXOM*AD 30CPS,,,,,,BYK GULDEN ITALIA SpA
0026264022,J06BB,VARZETA*IM EV 1F 1000MG,,,,,,ALFA BIOTECH SpA
0026265013,J07BD52,MMR II*1FL LIOF+1SIR SOLV,"0000000001,000",P,f,"1,0000000000",1,SANOFI PASTEUR MSD SpA
0026032300,J07BB02,"VAXIGRIP*1SIR 0,5ML 2018-2019","0000000001,000",P,f,"1,0000000000",1,SANOFI SpA
0026727026,J01FA,RULID*OS GRAT 12BUST 50MG,,,,,,ROUSSEL PHARMA SpA
0026730059,J07AX,BIOMUNIL*GRAT OS SOSP 20BUST,,,,,20,IST.LUSOFARMACO D'ITALIA SpA
0026457010,J06BB05,IGRABBIA*1F 10ML 1500UI,,,,,,SCLAVO SpA
0026868063,J01CA08,PIVEXID*16CPR 200MG,"0000000000,600",O,g,,,IBP (IST.BIOCH.PAVESE PH.SpA)
0026742027,J01CR01,"BETHACIL*EV 1FL1G+500MG/3,2ML+","0000000006,000",P,g,,1,PFIZER ITALIA Srl
0026742039,J01CR01,"BETHACIL*IMEV 250+500/1,6ML+F","0000000006,000",P,g,,1,PFIZER ITALIA Srl
0026742080,J01CR04,BETHACIL*8CPR 750MG,"0000000001,500",O,g,,8,ITALCHIMICI SpA
0026639031,J01DH51,TENACID*EV FL 500/500MG+FL 100,"0000000002,000",P,g,,1,SIGMATAU IND.FARM.RIUNITE SpA
0026639043,J01DH51,TENACID*IM FL 500MG/500MG+F2ML,"0000000002,000",P,g,"0,2500000000",1,SIGMATAU IND.FARM.RIUNITE SpA
0026875017,J05AB04,VIRAZOLE*AER FL LIOF 6G,"0000000006,000",I,g,"1,0000000000",1,MEDA PHARMA SpA
0026757017,J07BE01,"IMOVAX OREILLONS*1F+1SIR 0,5ML",,,,,,PASTEUR MERIEUX MSD SpA
0026518050,L03AB01,ALFAFERONE*1F 6000000UI 1ML,"0000000002,000",P,MU,"3,0000000000",1,ALFA WASSERMANN SpA
0026766016,J01MB06,UROC*20CPS 500MG,"0000000001,000",O,g,"10,0000000000",20,LAMPUGNANI FARMACEUTICI SpA
0026663056,J01MA02,FLONTALEXIN*12CPR RIV 750MG,"0000000001,000",O,g,"9,0000000000",12,I.B.N. SAVIO Srl
0026664033,J01MA02,CIPROXIN*INFUS FL 100MG 50ML,"0000000000,800",P,g,"0,1250000000",1,BAYER SpA
0026664058,J01MA02,CIPROXIN*INFUS FL 400MG 200ML,"0000000000,800",P,g,"0,5000000000",1,BAYER SpA
0026664072,J01MA02,CIPROXIN*OS SOSP 100ML 500MG/5,"0000000001,000",O,g,"10,0000000000",1,BAYER SpA
0026544027,L01BA01,METOTRESSATO TEVA*FL 50MG 2ML,"0000000030,000",P,mg,"1,6670000000",1,TEVA ITALIA Srl
0026393138,L03AB05,"INTRONA*1PEN 60MUI 1,2ML MULT","0000000002,000",P,MU,,,SCHERING PLOUGH Srl
0026405151,J07BB,"AGRIPPAL S1*1F 0,5ML 1993-94",,,,,,CHIRON Srl
0026405237,J07BB,"AGRIPPAL S1*1F 0,5ML 1997-98",,,,,,CHIRON Srl
0026405252,J07BB02,"AGRIPPAL S1*1F 0,5ML 02-03",,,,,,CHIRON Srl
0026405290,J07BB02,"AGRIPPAL S1*10SIR S/A 0,5ML19-","0000000001,000",P,f,"10,0000000000",10,SEQIRUS Srl
0026405302,J07BB02,AGRIPPAL S1*50SIR 50D 02-03,,,,,,CHIRON Srl
0026697110,J05AF01,RETROVIR*60CPS 250MG,"0000000000,600",O,g,"25,0000000000",60,VIIV HEALTHCARE Srl
0027194063,J05AB01,AVIRASE*35CPR 800MG,"0000000004,000",O,g,"7,0000000000",35,LAMPUGNANI FARMACEUTICI SpA
0027203013,J02AB01,MIDERM*20CPR 250MG,,,,,20,MENDELEJEFF Srl
0026915102,J01DC02,ZINNAT*12CPR RIV 500MG,"0000000000,500",O,g,,12,GLAXOSMITHKLINE SpA
0026917029,J01DC02,CEFUROXIMA EG*12CPR RIV 250MG,"0000000000,500",O,g,"6,0000000000",12,EG SpA
0026917070,J01DC02,ZOREF*GRAT SOSP 50ML 250MG/5ML,"0000000000,500",O,g,"5,0000000000",1,CRINOS SpA
0027020041,J01DC02,TILEXIM*OS SOSP100ML 125MG 5ML,"0000000000,500",O,g,,1,FARMACEUTICI CABER Srl
0027127087,J01DD08,SUPRAX*5CPR DISPERS 400MG,"0000000000,400",O,g,"5,0000000000",5,ASTELLAS PHARMA SpA
0027259023,L01DB,DOXORUBICIN*FL 50MLx50MG LIOF,,,,,,CHIRON ITALIA Srl
0027267020,J02AC01,DIFLUCAN*2CPS 150MG,"0000000000,200",O,g,"1,5000000000",2,PFIZER ITALIA Srl
0026938062,J06BA02,ISIVEN V.I.*FL 1000MG+F 20ML,,,,,1,KEDRION SpA
0026938074,J06BA02,ISIVEN V.I.*EV FL 2500MG+F 50M,"0000000007,000",P,g,"0,3570000000",1,KEDRION SpA
0026938148,J06BA02,ISIVEN V.I.*FL 5G+FL 100ML+SET,,,,,1,KEDRION SpA
0026947059,J07AM51,"DIFTAVAX*10SIR 0,5ML",,,,,,SANOFI SpA
0027020080,J01DC02,TILEXIM*OS SOSP100ML 250MG 5ML,"0000000000,500",O,g,,1,FARMACEUTICI CABER Srl
0027152026,J01DD08,UNIXIME*6CPR RIV 200MG,"0000000000,400",O,g,,,F.I.R.M.A. SpA
0027066087,L02AE02,"ENANTONE DIE*1FL 1,6ML/8D+8SIR","0000000001,000",P,mg,,,TAKEDA ITALIA FARMACEUT.SpA
0026897049,J07BB,ISIFLU ZONALE SU*FSIR 89-90,,,,,,I.S.I. SpA
0026897102,J07BB,ISIFLU ZONALE SU*FSIR 92-93,,,,,,I.S.I. SpA
0027370055,J01FA09,KLACID*12CPR RIV 250MG,"0000000000,500",O,g,"6,0000000000",12,MYLAN ITALIA Srl
0027591039,J01CA17,SKF G 02*IM 1F 1000MG+F 3ML,"0000000004,000",P,g,,,IODOSAN SpA
0027387036,J07BX,LUPIDON H*12F 1ML,,,,,,BRUSCHETTINI Srl
0027289014,L03AX09,MEPENTIL*IMEV/SC F 1ML 50MG/ML,,,,,,RECORDATI SpA
0027406038,J01DC09,METACAF*EV FL 1000MG+F 10ML,"0000000004,000",P,g,"0,2500000000",1,BARDIAFARMA SpA
0027267246,J02AC01,DIFLUCAN*50CPS 50MG,"0000000000,200",O,g,"12,5000000000",50,PFIZER ITALIA Srl
0027267374,J02AC01,DIFLUCAN*20CPS 50MG,"0000000000,200",O,g,"5,0000000000",20,PFIZER ITALIA Srl
0027267412,J02AC01,DIFLUCAN*50CPS 50MG,"0000000000,200",O,g,"12,5000000000",50,PFIZER ITALIA Srl
0027267564,J02AC01,DIFLUCAN*42CPS 100MG,"0000000000,200",O,g,"21,0000000000",42,PFIZER ITALIA Srl
0027427020,J05AB06,CYMEVENE*84CPS 250MG,"0000000003,000",O,g,,84,RECORDATI SpA
0027506017,J07BD52,"MORUPAR*1F 1D+F 0,5ML C/SIR",,,,,,CHIRON Srl
0027267689,J02AC01,DIFLUCAN*14CPS 150MG,"0000000000,200",O,g,"10,5000000000",14,PFIZER ITALIA Srl
0027267727,J02AC01,DIFLUCAN*42CPS 150MG,"0000000000,200",O,g,"31,5000000000",42,PFIZER ITALIA Srl
0027267780,J02AC01,DIFLUCAN*2CPS 150MG,"0000000000,200",O,g,"1,5000000000",2,PFIZER ITALIA Srl
0027267804,J02AC01,DIFLUCAN*4CPS 150MG,"0000000000,200",O,g,"3,0000000000",4,PFIZER ITALIA Srl
0027267828,J02AC01,DIFLUCAN*7CPS 150MG,"0000000000,200",O,g,"5,2500000000",7,PFIZER ITALIA Srl
0027320023,J01XE01,NEOFURADANTIN*20CPS 100MG,"0000000000,200",O,g,"10,0000000000",20,GRUNENTHAL ITALIA Srl
0027267893,J02AC01,DIFLUCAN*42CPS 150MG,"0000000000,200",O,g,"31,5000000000",42,PFIZER ITALIA Srl
0027268022,J02AC01,ELAZOR*2CPS 150MG,"0000000000,200",O,g,"1,5000000000",2,ALFASIGMA SpA
0027529116,J01FA09,VECLAM*14CPR RIV 500MG,"0000000000,500",O,g,"14,0000000000",14,MALESCI SpA IST.FARMACOBIOL.
0027278100,J07BB,VAC.MUTAGRIP PASTEUR*FSIR 97,,,,,,PASTEUR MERIEUX MSD SpA
0027761079,J07BB,"INFLUVIRUS F*FSIR 0,5ML 97-98",,,,,,NUOVO I.S.M. Srl
0027761081,J07BB02,"INFLUVIRUS F*F 0,5ML 1999-2000",,,,,,HARDIS SpA
0027772096,L03AA02,"GRANULOKINE*1SIR 30MU 0,5ML","0000000000,350",P,mg,"0,8570000000",1,AMGEN Srl
0027897040,J01FA10,AZITROMICINA PF*3CPR RIV 500MG,"0000000000,300",O,g,"5,0000000000",3,PFIZER ITALIA Srl
0027909047,J01DC09,METAFAR*EV FL 2G,"0000000004,000",P,g,"0,5000000000",1,NEW RESEARCH Srl
0028058093,J01MA10,TEBRAXIN 150*6CPR RIV 150MG,"0000000000,200",O,g,,,BRACCO SpA DIV.FARMACEUTICA
0028058117,J01MA,TEBRAXIN 150*6CPS 150MG,,,,,,BRACCO SpA DIV.FARMACEUTICA
0028058129,J01MA,TEBRAXIN*6CPS 200MG,,,,,,BRACCO SpA DIV.FARMACEUTICA
0027929064,L03AB01,BIAFERONE*FSIR 1000000UI 1ML,,,,,,FARMA BIAGINI SpA
0027939040,J01DD09,TIMECEF*1FL+1F 4ML 1G/4ML,"0000000002,000",P,g,"0,5000000000",1,SANOFI SpA
0027939053,J01DD09,TIMECEF*IV 1FL+1F 10ML 2G/10ML,"0000000002,000",P,g,"1,0000000000",1,SANOFI SpA
0027849090,J01DD14,CEDAX*4BUST 400MG,"0000000000,400",O,g,,,MSD ITALIA Srl
0027958089,L03AB01,ISIFERONE*1F 1000000UI/1ML,,,,,1,KEDRION SpA
0027849177,J01DD14,CEDAX*12BUST 200MG,"0000000000,400",O,g,,,MSD ITALIA Srl
0027850054,J01DA,"ISOCEF*OS GRAT SOSP 15G 14,4%",,,,,1,RECORDATI SpA
0027960057,L03AA03,MIELOGEN*3FL 300MCG+3F 1ML,"0000000000,350",P,mg,,3,SCHERING PLOUGH Srl
0027633039,L03AX05,AXIL*10BUST 800MG,"0000000001,600",O,g,"5,0000000000",10,POLICHEM Srl
0027969029,J01DD13,OTREON*BB OS 50ML 40MG/5ML,"0000000000,400",O,g,"1,0000000000",1,DAIICHI SANKYO ITALIA SpA
0027970019,J01DD13,ORELOX*12CPR RIV 100MG,"0000000000,400",O,g,"3,0000000000",12,SANOFI SpA
0028468104,J05AB01,REXAN*35CPR 800MG,"0000000004,000",O,g,,35,IST.CHIM.INTERNAZ. RENDE Srl
0028141051,J01DC,FLOXEF*IM 1F 1G+F 3ML,,,,,1,GLAXOSMITHKLINE SpA
0028232066,J01DC09,DECACEF*IM 1F 1G+F 4ML SOLV,"0000000004,000",P,g,"0,2500000000",1,CRINOS SpA
0028143028,J01DC,FLOMEX*EV 1F 1G+F 5ML,,,,,1,IODOSAN SpA
0028242079,J05AB01,DRAVYR*OS SOSP FL 100ML 8%,"0000000004,000",O,g,"2,0000000000",1,D.R.DRUG RESEARCH Srl
0028249050,J01CR05,"TAZOCIN*INFUS 12FL 2G+0,25G","0000000014,000",P,g,"1,7140000000",12,PFIZER ITALIA Srl
0028341028,J05AF02,VIDEX*60CPR MAST 25MG,"0000000000,400",O,g,"3,7500000000",60,BRISTOL-MYERS SQUIBB Srl
0028345015,J01DC08,LORBEF*8CPS 200MG,"0000000000,600",O,g,,8,DOMPE' SpA
0028493056,L01BA01,METOTREXATO PFI*1F 1G 10ML,"0000000030,000",P,mg,"33,3330000000",1,PFIZER ITALIA Srl
0028372100,J07BB,"FLUVIRIN*10SIR 0,5ML 95-96",,,,,,FARMA REKORD Srl
0028177018,J01FA10,RIBOTREX*6CPS 250MG,"0000000000,300",O,g,,,PIERRE FABRE PHARMA Srl
0028376022,J01DC08,CARBALOR*GRATxSOSP 8BUST 200MG,"0000000000,600",O,g,,8,PHARMACIA ITALIA SpA
0028409011,J01DD,SULPERAZONE*INIET 500MG+500MG,,,,,,PFIZER ITALIA Srl
0028409023,J01DD,SULPERAZONE*INIET 500MG+1G,,,,,,PFIZER ITALIA Srl
0028421016,J01FA13,DINABAC*8CPR 250MG,"0000000000,500",O,g,,8,ELI LILLY ITALIA SpA
0028423010,J01GB06,"MIKAN*IM IV FL 0,5G 2ML","0000000001,000",P,g,"0,5000000000",1,BONISCONTRO & GAZZONE Srl
0028425015,J05AB01,NEVIRAN*25CPR 200MG,"0000000004,000",O,g,,,FONTEN FARMACEUTICI Srl
0028425078,J05AB01,NEVIRAN*35CPR 800MG,"0000000004,000",O,g,"7,0000000000",35,S.F. GROUP Srl
0028426017,J04AB04,MYCOBUTIN*30CPS 150MG,"0000000000,150",O,g,"30,0000000000",30,PFIZER ITALIA Srl
0028216087,L03AA02,"NEUPOGEN*5SIR 30MU 0,5ML","0000000000,350",P,mg,,5,DOMPE' BIOTEC SpA
0028446019,J07BE01,MUMATEN BERNA*SC FL LIOF+SIR,,,,,1,BERNA ISTITUTO SIEROTER. Srl
0028453013,J01FA13,DIROMIC*8CPR 250MG,"0000000000,500",O,g,,8,PHARMACIA ITALIA SpA
0028455018,J01CF05,BETABIOTIC*12CPS 500MG,"0000000002,000",O,g,,,PLIVA PHARMA SpA
0028232027,J01DA,DECACEF 1000*IM FL LIOF+F 3ML,,,,,1,BONISCONTRO & GAZZONE Srl
0028725113,J07BC02,HAVRIX*AD IM 1F 1ML 1D,,,,,,GLAXOSMITHKLINE SpA
0028727016,J01DC10,CRONOCEF*12CPR 250MG,"0000000001,000",O,g,,12,MEDA PHARMA SpA
0028735037,J01CA12,PIPERITAL*EV 1FL POLV 4G,"0000000014,000",P,g,"0,2860000000",1,I.B.I.GIOVANNI LORENZINI SpA
0028739047,L01XA01,CISPLATINO SAND*EV 10MG 20ML,,,,,1,SANDOZ SpA
0028855017,J01DD08,SUPRACEF*5CPR RIV 400MG,"0000000000,400",O,g,"5,0000000000",5,IST.LUSOFARMACO D'ITALIA SpA
0028855070,J01DD08,SUPRACEF*7CPR DISP 400MG,"0000000000,400",O,g,"7,0000000000",7,IST.LUSOFARMACO D'ITALIA SpA
0028867012,J01CA12,PIPERACILLINA CA*IM 1F 2G+F 4M,"0000000014,000",P,g,"0,1430000000",1,FARMACEUTICI CABER Srl
0028885022,J01DB04,"KEZOLIN*IM 1F 1G+F 4ML 0,5%","0000000003,000",P,g,,,ELI LILLY ITALIA SpA
0028614129,J05AB01,ACICLIN*OS SOSP FL 100ML,"0000000004,000",O,g,"2,0000000000",1,FIDIA FARMACEUTICI SpA
0028614131,J05AB01,ACICLIN*OS GRAT 35BUST 800MG,"0000000004,000",O,g,"7,0000000000",35,FIDIA FARMACEUTICI SpA
0028686071,L03AA10,GRANOCYTE 13*5F 13MUI/ML+5F1ML,"0000000000,350",P,mg,"1,5000000000",5,ITALFARMACO SpA
0028780070,J07AG51,"VAXEM HIB*IM 1SIR 0,5ML 1D",,,,"1,0000000000",1,GSK VACCINES Srl
0028528077,J05AB01,CITIVIR*35CPR 800MG,"0000000004,000",O,g,"7,0000000000",35,C.T. LAB.FARMACEUTICO Srl
0028805012,L03AB03,"GAMMAKINE*6FL 0,5ML 100MCG","0000000040,000",P,mcg,,6,DOMPE' BIOTEC SpA
0028536023,J01DF,OVERNAM*IM 1FL 1G+F SOLV,,,,,1,BRACCO SpA DIV.FARMACEUTICA
0028701112,L03AB,BETRON R*3FL 1000000UI+3F SOLV,,,,,,ITALFARMACO SpA
0028701136,L03AB,BETRON R*3FL 3000000UI+3F SOLV,,,,,3,ITALFARMACO SpA
0028820013,L03AB01,ALFATER*FSIR 3000000UI/1ML,"0000000002,000",P,MU,,1,HARDIS SpA
0028820088,L03AB01,ALFATER*IM SC F 6000000UI 1ML,"0000000002,000",P,MU,"3,0000000000",1,HARDIS SpA
0028949055,J01DH02,MERREM 250*EV FL 250MG+SAC.100,"0000000003,000",P,g,,1,ASTRAZENECA SpA
0028949079,J01DH02,MERREM*EV FL 1G+SAC.100ML,"0000000003,000",P,g,"0,3330000000",1,ASTRAZENECA SpA
0029059060,L03AA,"MYELOSTIM 47*5F 47MIU+5F 1,4ML",,,,,5,ITALFARMACO SpA
0029172018,J05AB09,FAMVIR*21CPR RIV 250MG,"0000000000,750",O,g,"7,0000000000",21,PHOENIX LABS
0029172069,J05AB09,FAMVIR*14CPR RIV 500MG,"0000000000,750",O,g,,14,PHOENIX LABS
0029174063,J05AB09,EMADOTE*14CPR RIV 500MG,"0000000000,750",O,g,,14,LPB IST.FARMACEUTICO Srl
0028987016,L01BC02,FLUOROURACILE C.ERBA*10F 250MG,,,,,,CARLO ERBA OTC SpA
0029310012,J07BF03,"IMOVAX POLIO*IM SC 1SIR 0,5ML","0000000001,000",P,f,"1,0000000000",1,SANOFI SpA
0028893028,J01DC06,"SINTOCEF*IM 1F 1G+F 2,5ML SOLV","0000000001,000",P,g,"1,0000000000",1,CRINOS SpA
0029021045,J06BA02,PENTAGLOBIN*EV 1FL 50MG/ML100M,"0000000007,000",P,g,"0,7140000000",1,BIOTEST ITALIA Srl
0028900037,J01DE01,CEPIMEX*EV FL 2G+F 10ML,"0000000004,000",P,g,,1,BRUNO FARMACEUTICI SpA
0029128016,J01XX01,URIDOZ*BB OS 2BUST 2G,"0000000003,000",O,g,,,ZAMBON ITALIA Srl
0028928012,L01XD01,PHOTOFRIN*EV 1FL 15MG,,,,,1,AXCAN PHARMA INTERNATIONAL BV
0028929014,J07AG51,"HIBTITER*IM 1F 1D 0,5ML+SIR",,,,,,WYETH LEDERLE SpA
0029244011,J07AJ52,"INFANRIX DTPA*IM 1FL 0,5ML","0000000001,000",P,f,"1,0000000000",1,GLAXOSMITHKLINE SpA
0029244062,J07AJ52,"INFANRIX DTPA*IM 25SIR 0,5ML",,,,,,GLAXOSMITHKLINE SpA
0029573019,J01DA01,CEFALEXINA*5% SCIR 100ML,"0000000002,000",O,g,,,MONTEFARMACO OTC SpA
0029485024,L04AA05,PROGRAF*50CPS 1MG,"0000000005,000",O,mg,,,FUJISAWA Srl
0029485051,L04AD02,PROGRAF*50CPS 5MG,"0000000005,000",O,mg,"50,0000000000",50,ASTELLAS PHARMA SpA
0029485075,L04AD02,PROGRAF*60CPS 1MG,"0000000005,000",O,mg,"12,0000000000",60,ASTELLAS PHARMA SpA
0029583022,J04AC01,ISONIAZIDE*50CPR 200MG,"0000000000,300",O,g,,,MONTEFARMACO OTC SpA
0029591017,J01MB02,ACIDO NALIDIXICO*20CPR 500MG,"0000000004,000",O,g,,,MONTEFARMACO OTC SpA
0029593011,J01DA01,CEFALOTINA SODICA*1F 1G+F 4ML,,,,,,MONTEFARMACO OTC SpA
0029485125,L04AD02,"PROGRAF*30CPS 0,5MG","0000000005,000",O,mg,"3,0000000000",30,ASTELLAS PHARMA SpA
0029485164,L04AD02,PROGRAF*60CPS 1MG,"0000000005,000",O,mg,"12,0000000000",60,ASTELLAS PHARMA SpA
0029603014,J04AK02,ETAMBUTOLO CLORIDR*20CPR 200MG,"0000000001,200",O,g,,,MONTEFARMACO OTC SpA
0029503024,J05AB11,ZELITREX*21CPR RIV 1000MG,"0000000003,000",O,g,"7,0000000000",21,GLAXOSMITHKLINE SpA
0029514039,J01GB11,LACERTIL*INIET 1F 250MG/1ML,,,,,1,ESSEX ITALIA Srl
0029515020,L03AB05,RESSEX A 3*1F 3/M UI+F 1ML,"0000000002,000",P,MU,,,SCHERING PLOUGH Srl
0029314046,J01GB03,GENTOMIL*IM IV 1F 160MG 2ML,"0000000000,240",P,g,"0,6670000000",1,PFIZER ITALIA Srl
0029314059,J01GB03,GENTOMIL*IM IV 10F 80MG 2ML,"0000000000,240",P,g,"3,3330000000",10,PFIZER ITALIA Srl
0029443037,J02AA01,AMPHOCIL*INF EV 1FL 100MG,"0000000035,000",P,mg,,1,THREE RIVERS PHARMACEUTIC. LTD
0029545011,J07BC,HAVRIX 1440*IM 1F 1ML 1D,,,,,,SMITHKLINE BEECHAM SpA
0029547015,J07AL01,"PNUIMUNE*1FSIR 0,5ML 1D",,,,,,WYETH LEDERLE SpA
0029991039,J01AA02,DOXICICLINA*5CPS 200MG,"0000000000,100",O,g,,5,ETHYPHARM Srl
0030150015,J01CF02,CLOXACILLINA*12CPS 250MG,"0000000002,000",O,g,,,ITALFARMACO SpA
0030151017,J01CF02,CLOXACILLINA SODICA*FL 500MG+F,"0000000002,000",P,g,,,ITALFARMACO SpA
0030151029,J01CF02,CLOXACILLINA SODICA*SCIR 100ML,"0000000002,000",O,g,,,ITALFARMACO SpA
0030393019,J01MB02,ACIDO NALIDIXICO*20CPR 500MG,,,,,,DONINI Srl
0030074025,J01MB02,ACIDO NALIDIXICO*40CPR 500MG,"0000000004,000",O,g,,40,NOVASOREL SpA
0030081044,J05AE03,NORVIR*FL 84CPS MOLLI 100MG,"0000000001,200",O,g,"7,0000000000",84,ABBVIE Srl
0030232019,J01XE01,NITROFURANTOINA*20CPR 50MG,,,,,,LAB.FARMACOLOGICO MILANESE Srl
0030448031,J01MB02,ACIDO NALIDIXICO*500CPR 500MG,,,,,100,NOVA ARGENTIA SpA
0030100010,J04AK02,ETAMBUTOLO CLOR*20CPR 200MG,"0000000001,200",O,g,,,NOVASOREL SpA
0030284020,J01FA01,"ERITROMICINA ETILSUCC*2,5%100M","0000000001,000",O,g,,,BELTAPHARM SpA
0030140040,J01CA04,"AMOXICILLINA*SCIR 2,5% FL100ML","0000000001,500",O,g,,,ITALFARMACO SpA
0030143022,J01DB01,CEFALEXINA*8CPS 500MG,"0000000002,000",O,g,,,ITALFARMACO SpA
0030585032,J01EC02,SULFADIAZINA*500CPR 500MG,,,,,500,NOVA ARGENTIA Srl
0030586046,J01ED01,SULFADIMETOSSINA*1000CPR 500MG,,,,,,NOVA ARGENTIA SpA
0030587048,J01ED,SULFAMETOPIRAZINA*1000CPR 500M,,,,,1000,NOVA ARGENTIA Srl
0030603043,J01CA01,AMPICILLINA*12CPS 250MG,"0000000002,000",O,g,,,I.S.F. SpA
0030644025,J05AE02,CRIXIVAN*180CPS 400MG FL,"0000000002,400",O,g,"30,0000000000",180,MSD ITALIA Srl
0030644037,J05AE02,CRIXIVAN*180CPS 200MG FL,"0000000002,400",O,g,"15,0000000000",180,MSD ITALIA Srl
0030830020,J01CA,AMPICILLINA*12CPS 500MG,,,,,,I.S.I. SpA
0030989026,J01AA07,TETRACICLINA CLORIDR*100CPS250,,,,,,ALFA INTES (IND.TER.SPLENDORE)
0031002013,J01EC02,SULFADIAZINA*20CPR 500MG,,,,,20,FARMACEUTICI GELLINI SpA
0030986020,J04AB02,RIFAMPICINA*100CPS 150MG,,,,,100,ALFA INTES (IND.TER.SPLENDORE)
0030986032,J04AB02,RIFAMPICINA*500CPS 300MG,,,,,500,ALFA INTES (IND.TER.SPLENDORE)
0031242023,J01CA04,AMOXICILLINA*6CPS 500MG,"0000000001,500",O,g,,,MONTEFARMACO OTC SpA
0031408053,J01CA01,AMPICILLINA*6CPS 500MG,"0000000002,000",O,g,,6,FISIOPHARMA Srl
0031831035,J01DC06,"LISA*IV 1F 1G+F 2,5ML","0000000001,000",P,g,,1,LISAPHARMA SpA
0031826035,J01DC06,MODIEM*IV 1F 1G+F,"0000000001,000",P,g,,1,VECCHI & PIAM Sapa
0031809039,L02BG03,ARIMIDEX*84CPR RIV 1MG,"0000000001,000",O,mg,"84,0000000000",84,ASTRAZENECA SpA
0031812011,J01DC06,MONOBIOS 500*IM FL 500MG+F 2ML,"0000000001,000",P,g,,,C.T. LAB.FARMACEUTICO Srl
0031863020,J01CE08,BENZILPENICILLINA BENZ*1200000,,,,,,SERPERO SpA (IND.GALENICA MIL)
0031867017,J01BA01,CLORAMFENICOLO*1FL 1G+1F SOLV,,,,,,SERPERO SpA (IND.GALENICA MIL)
0031903040,J01DC04,CLORAD*OS GRATxSOSP 250MG/5ML,"0000000001,000",O,g,"5,0000000000",1,ACS DOBFAR SpA
0031840059,J07BB02,"FLUAD*1SIR 0,5ML S/A 2019-2020","0000000001,000",P,f,"1,0000000000",1,SEQIRUS Srl
0031840061,J07BB02,"FLUAD*10SIR 0,5ML S/A 2019-20","0000000001,000",P,f,"10,0000000000",10,SEQIRUS Srl
0032029011,J01CA04,DOSOX*12CPR 1G,"0000000001,500",O,g,,12,CARLO ERBA OTC SpA
0032029023,J01CA04,DOSOX*12CPS 500MG,"0000000001,500",O,g,,12,CARLO ERBA OTC SpA
0032161022,J01DC06,CEFOPLUS*IM 1F 500MG+F 2ML,"0000000001,000",P,g,"0,5000000000",1,AESCULAPIUS FARMACEUTICI Srl
0032172025,J01CA04,MOLTAMOX*12CPS 500MG,"0000000001,500",O,g,,,MOLTENI & C. F.LLI ALITTI SpA
0031997012,J01DC02,LIFUROX*1FL 250MG+1F 1ML,,,,,,ELI LILLY ITALIA SpA
0032418016,J01BA01,CLORAMFENICOLO*1FL 1G+1F SOLV,"0000000003,000",P,g,"0,3330000000",1,OFF (OFF.FARM.FIORENTINA) Srl
0032314015,J01CA04,AMOXISTAD*12CPR 1G,"0000000001,500",O,g,,,EG SpA
0032438018,J01FA01,ERITROMICINA LATTOBION*500MG,,,,,,OFF (OFF.FARM.FIORENTINA) Srl
0032439010,J01FA01,ERITROMICINA STEARATO*12CPR250,,,,,,OFF (OFF.FARM.FIORENTINA) Srl
0032577037,J01FA,ERITROMICINA STEARATO*100CPR25,,,,,,BELTAPHARM SpA
0032577049,J01FA,ERITROMICINA STEARATO*500CPR25,,,,,,BELTAPHARM SpA
0032332013,J01CA06,BACASINT 800*12CPR RIV 800MG,"0000000001,200",O,g,,,VECCHI & PIAM Sapa
0032469025,J04AB,RIFAMPICINA*8CPS 150MG,,,,,8,OFF (OFF.FARM.FIORENTINA) Srl
0032307035,J05AB01,ACICLOVIR EG*OS SOSP FL 100ML,"0000000004,000",O,g,"2,0000000000",1,EG SpA
0032927016,J05AB01,ACICLOVIR RANB*INIET 3F 250MG,"0000000004,000",P,g,,,RANBAXY ITALIA SpA
0032927055,J05AB01,ACICLOVIR RANB*35CPR 800MG,"0000000004,000",O,g,"7,0000000000",35,RANBAXY ITALIA SpA
0032949024,L01XX19,CAMPTO*INFUS 100MG 5ML 20MG/ML,"0000000030,000",P,mg,"3,3330000000",1,PFIZER ITALIA Srl
0032768032,J01DC06,"DELSACID*EV F 1G+F SOLV 2,5ML","0000000001,000",P,g,,1,SELVI LABORAT.BIOTERAPICO SpA
0032785014,J01DC06,"CEFOGER*IM FL 1G+F 2,5ML SOLV","0000000001,000",P,g,,1,DE SALUTE Srl
0032791016,J01CA04,ORALMOX*12CPR SOLUB MAST 1G,"0000000001,500",O,g,"8,0000000000",12,CRINOS SpA
